Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,Wanted,buy,,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18530203acda1.pdf,"2 cooks wanted, slaves preferred",18530203,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,,,38 S. Charles St.,MD
,For Sale,sell,16,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350207acda17.pdf,page 3 4th column,18350207,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,BA,,,No. 82 Pratt Street,MD
,Wanted,buy,16 - 18,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350214acda18.pdf,page 3 4th column 2nd from bottom,18350214,,private_dealer,,,MD,House Work,,,American Commercial and Daily Advertiser,,,,,,MD
,Family Servant,sell,22,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350224acda19.pdf,page 4 4th column bottom,18350224,,private_dealer,,,MD,House Servant,,,American Commercial and Daily Advertiser,,,,,,MD
,Wanted to Purchase,buy,14 - 16,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350225acda20.pdf,page 4 3rd column 4th from bottom,18350225,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,BA,,,No. 73 Fayette St.,MD
,Servant to Hire,sell,,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350226acda21.pdf,page 3 3rd column big house,18350226,,private_dealer,,,MD,Nurse and Chambermaid,,,American Commercial and Daily Advertiser,,BA,,,,MD
,To hire,buy,17,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350228acda22.pdf,page 1 4th column,18350228,,private_dealer,,,MD,tending horses and waiting house,,,American Commercial and Daily Advertiser,,,,,,MD
,To Hire,sell,22,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350303acda23.pdf,page 3 3rd column bottom,18350303,,private_dealer,,,MD,"farming, housework, milling",,,American Commercial and Daily Advertiser,,,,,,MD
,For Hire,sell,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350304acda24.pdf,page 3 3rd column middle,18350304,,private_dealer,,,MD,laborer,,,American Commercial and Daily Advertiser,,,,,,MD
,For Sale,sell,18,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350311acda25.pdf,1st column page 3,18350311,,private_dealer,,,MD,Waiter,,,American Commercial and Daily Advertiser,,,,,,MD
,Wanted,buy,10 - 14,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350313acda26.pdf,page 3 2nd column,18350313,,private_dealer,,,MD,Serving Family,,,American Commercial and Daily Advertiser,,,,,No. 2 S. Charles Street,MD
,To hire,sell,23,Baltimore,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350314acda28.pdf,page 3 4th column,18350314,,private_dealer,BA,,MD,"Coachman, waiter and porter",,,American Commercial and Daily Advertiser,,BA,,,No. 3 N. Howard Street,MD
,Negroes for sale,sell,all,Baltimore,both,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350314acda27.pdf,page 3 4th column,18350314,18350321,court_ordered,BA,Courthouse,MD,,,,American Commercial and Daily Advertiser,,BA,Barzillai,Slacum,15 to 20 slaves for sale,MD
